file_id;nif;iban;pedido;fecha;base;iva_pct;iva;total;lineas;instruccion;superpuesto;notas
copia_2026_0518.pdf;B30455812;ES6001825822180201588391;PO-2026-0721;18/05/2026;760,00;21;159,60;919,60;;;
fax_2026_0411.pdf;ILEGIBLE;ILEGIBE;PO-2026-0718;11/04/2026;920,00;21;193,20;1.113,20;;;
reimpresion_0712.pdf;B98455101;ES4721007788103000445566;PO-2026-0725;12/07/2026;1.880,00;21;394,80;2.274,80;;;;
scan_001.pdf;B98120774;ES4414650100951704302211;PO-2026-0477;08/03/2026;1.025,49;21;215,35;1.240,84;;;;
scan_002.pdf;B98120774;ES4414650100951704302211;PO-2026-0478;23/07/2026;1.292,88;21;271,50;1.564,38;;;;
scan_003.pdf;B98120774;ES4414650100951704302211;PO-2026-0479;17/07/2026;379,61;21;79,72;459,33;;;;
scan_004.pdf;B90233808;ES9368884400123588900142;PO-2026-0480;05/07/2026;433,87;21;91,11;524,98;;;;
scan_005.pdf;B90233808;ES9368884400123588900142;PO-2026-0481;02/02/2026;938,18;21;197,02;1.135,20;;;;
scan_006.pdf;B98120774;ES4414650100951704302211;PO-2026-0482;03/03/2026;1.178,84;21;247,56;1.426,40;;;;
scan_007.pdf;B98120774;ES4414650100951704302211;PO-2026-0483;21/04/2026;1.533,53;21;322,04;1.855,57;;;;
scan_008.pdf;B90233808;ES9368884400123588900142;PO-2026-0484;29/05/2026;1698,74;21;356,74;2.055,48;;;;
scan_009.pdf;B90233808;ES9368884400123588900142;PO-2026-0485;08/03/2026;834,24;21;175,19;1.009,43;;;;
scan_010.pdf;B90233808;ES9368884400123588900142;PO-2026-0486;28/02/2026;221,55;21;46,53;268,08;;;;
scan_011.pdf;B90233808;ES8368884400123588900142;PO-2026-0487;13/01/20260;1.255,20;21;263,59;1.518,79;;;;
scan_012.pdf;B98120774;ES4414650100951704302211;PO-2026-0488;06/05/2026;725,31;21;152,32;877,63;;;;
scan_013.pdf;B90233808;ES9368884400123588900142;PO-2026-0489;11/06/2026;1.165,90;21;244.84;1.410,74;;;;
scan_014.pdf;B90233808;ES9368884400123588900142;PO-2026-0490;03/05/2026;2.185,42;21;458,94;2.644,36;;;;
scan_015.pdf;;;;;;;;;;;;
scan_016.pdf;;;;;;;;;;;;
scan_017.pdf;;;;;;;;;;;;
scan_018.pdf;;;;;;;;;;;;
scan_021.pdf;;;;;;;;;;;;
scan_022.pdf;;;;;;;;;;;;
scan_023.pdf;;;;;;;;;;;;
scan_025.pdf;;;;;;;;;;;;
scan_026.pdf;;;;;;;;;;;;
scan_027.pdf;;;;;;;;;;;;
scan_028.pdf;;;;;;;;;;;;
scan_029.pdf;;;;;;;;;;;;
